"Are You There God? It's Me, Jesus","""Y2K"" Man","Yeah, you're supposed to know!"
"Are You There God? It's Me, Jesus",Man 4,Yeah!
"Are You There God? It's Me, Jesus",Man 5,"Yeah, you're Jesus."
"Are You There God? It's Me, Jesus",Man 6,Hey!
"Are You There God? It's Me, Jesus",Man 5,You're the one in control.
"Are You There God? It's Me, Jesus",Jesus,Oh. Well. Yea. Believe in me and ye shall find peace.
"Are You There God? It's Me, Jesus",Mr. Garrison,"Yeah yeah yeah, we've heard that crap for about 2000 years now! We wanna hear somethin' new! It's the year 2000, for Christ's sake!"
"Are You There God? It's Me, Jesus",Crowd,Yeah!
"Are You There God? It's Me, Jesus",Jesus,"Well, what do ya want?"
"Are You There God? It's Me, Jesus",Fr. Maxi,We want to see God!
"Are You There God? It's Me, Jesus",Randy,"Yeah, with our own eyes."
"Are You There God? It's Me, Jesus",Crowd,Yeah!
"Are You There God? It's Me, Jesus",Jimbo,We followed blindly for thousands of years and we think the least God can do is show up for New Year's Eve 1999!
"Are You There God? It's Me, Jesus",Crowd,Yeah!
"Are You There God? It's Me, Jesus",Woman,That's right!
"Are You There God? It's Me, Jesus",Jesus,"Oh. Uuuh, let me think about that for a minute. [backs up and closes the door. The people in the crowd are left to talk amongst themselves]"
"Are You There God? It's Me, Jesus",Man With Picket Sign,[to man to his left] Is that good?
"Are You There God? It's Me, Jesus",Man 7,I don't know.
"Are You There God? It's Me, Jesus",Man 8,I don't know. Is that good or not?!
"Are You There God? It's Me, Jesus",Scene Description,"The Marsh house, living room. The phone rings and Stan goes to answer it."
"Are You There God? It's Me, Jesus",Stan,Hello?
"Are You There God? It's Me, Jesus",Kyle,"Dude, did you get your period yet?"
"Are You There God? It's Me, Jesus",Stan,"No, there's no blood coming out of my ass."
"Are You There God? It's Me, Jesus",Kyle,"Mine neither. But I double-checked, and Cartman was right. Your period is the start of puberty."
"Are You There God? It's Me, Jesus",Stan,"Well, if Cartman is the only one who get it and he thinks he's too grown-up to hang out with us on New Year's Eve, then screw him anyways."
"Are You There God? It's Me, Jesus",Kyle,Yeah.
"Are You There God? It's Me, Jesus",Scene Description,"The McCormick shack, the restroom. Kenny reads from the South Park Enquirer on the pot. A stool drops into the toilet, and Kenny gets up to check it out"
"Are You There God? It's Me, Jesus",Kenny,[seeing the red streak] (Woohoo! [jumps for joy] Woohoooo!)
"Are You There God? It's Me, Jesus",Scene Description,"Al's Pharmacy. Inside, the boys check out various tampons. Cartman looks over a box of Breeze tampons"
"Are You There God? It's Me, Jesus",Stan,"Come on, Cartman, we have to make plans for New Year's."
"Are You There God? It's Me, Jesus",Cartman,"Hold your horses, guys. This is very important for mature people. [drops the Breeze and picks up the Plug-Ups. Softly] Let's see. Offers complete protection during heavy flow, hm. [swaps the Plug-Ups for the Cotton Cork] Lessee, might slow stoppage of vaginal chunks, eh. [swaps the Cotton Cork for the Beaver Dam] Oh, this one's got wings, you guys!"
"Are You There God? It's Me, Jesus",Kenny,"[rushes in] (You guys! You guys, I did it! I got my very own period!)"
"Are You There God? It's Me, Jesus",Cartman,[pleased] You did?
"Are You There God? It's Me, Jesus",Kyle,"You got your period too, Kenny?"
"Are You There God? It's Me, Jesus",Kenny,"(Yeah, it was awesome! I was just sitting down and then I got my period!)"
"Are You There God? It's Me, Jesus",Cartman,"Well welcome to the club, Kenny. You got your period, so now you're a man. We can hang out together on New Year's Eve. [Stan shrugs, but looks worried] But first you need to buy some Maxi pads to stuff in the back of your pants so you don't get blood on your underwear."
"Are You There God? It's Me, Jesus",Kenny,[exults] (Woo-hoo!)
"Are You There God? It's Me, Jesus",Scene Description,"Jesus' house. The crowd awaits his decision. Inside, Jesus paces the floor"
