Fourth Grade,The Adults,Aww Oooo!
Fourth Grade,Ms. Choksondik,"I'm going to teach these kids the wonders of the world, so that they can reach the top! [the others recoil at the sight of her nipples again] I hope that sometime very soon you will let me in on what happened to this Mr. Garrison! And with that I will bid you good day!"
Fourth Grade,Principal Victoria,"[trying to hide her stare] Wuh sure thing, fine, bye-bye then. [Ms. Choksondik exits and the other three breathe sighs of relief. Chef instinctively vomits, then covers his mouth.]"
Fourth Grade,Scene Description,"South Park Elementary, Ms. Choksondik's classroom, next day. The kids are all in their seats wearing goggles and the two nerds are with them"
Fourth Grade,Nerd #1,"Alright, when we power up, the handicapped kid's chair will accelerate at a high rate of speed about 10 feet that way [towards the board], then make the required magnetic vibrations."
Fourth Grade,Nerd #2,"If the fields are right, it should then create a wormhole up near the front of the classroom."
Fourth Grade,Wendy,"You guys don't actually think this is going to work, do you?"
Fourth Grade,Nerd #1,"Now, eh, when you all see a wormhole, yuh-you guys are gonna have about 4.2 seconds to run through it."
Fourth Grade,Nerd #2,"And on the other side you will find yourself in exactly the same spot, only one year ago."
Fourth Grade,Stan,Back in the third grade.
Fourth Grade,Kids,Cool/Wow.
Fourth Grade,Kyle,"I can't wait until the teacher yells at us this time, and we all tell her to suck our balls!"
Fourth Grade,Kids,Yeah!
Fourth Grade,Stan,Oh! Here she comes.
Fourth Grade,Ms. Choksondik,"[enters] Alright, children, I hope you all did your homework last night. Please pass your papers up to the frontuh."
Fourth Grade,Cartman,"[hops up on his seat] Suck my balls!!! [no one else moves] Oh, God-damnit, you guys, I am so seriously-"
Fourth Grade,Ms. Choksondik,"[sternly] I said, pass your papers to the fronteh!"
Fourth Grade,Cartman,"We didn't do our homework, Ms. Makesmesick! We didn't feel like it!"
Fourth Grade,Ms. Choksondik,It's Choksondik! And you are all going to have detention!
Fourth Grade,Cartman,"Hahaa! Charade you are, teacher! I'm afraid we have different plans! Gentlemen? [a handheld controller with two thumb joysticks is activated. The two nerds get to work]"
