Helen Keller! The Musical,Heidi,"Robby! Robby, no! [cries uncontrollably. The camera moves to a couple in discord. the woman is sad]"
Helen Keller! The Musical,Woman,"...Because now, every time I look at you [he tries to console her], I see her! [she swats his arm away] I have to move on."
Helen Keller! The Musical,Man,"Kelly, please. Don't do this. I'm sorry."
Helen Keller! The Musical,Kelly,Then why did you do it?? [breaks down and sobs]
Helen Keller! The Musical,Man,"I don't know! [beings to cry, too, and rests his head on her shoulder. The camera moves to a lady with something to say]"
Helen Keller! The Musical,Lady,Have you done the right things in your life? [the camera looks up into the sky as it fades into night]
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre, Wednesday, play day. The parents arrive and take seats. Mrs. Marsh finds Mrs. Broflovski siting in the audience already, and walks up to her"
Helen Keller! The Musical,Sharon,"Hi, Sheila."
Helen Keller! The Musical,Sheila,"Hello, Sharon. Where's your husband?"
Helen Keller! The Musical,Sharon,"Oh, he's in the back. He set up a video camera so he can tape the performance."
Helen Keller! The Musical,Sheila,"Oh, so did Gerald. [indeed, all the husbands are in the back of the theatre with video cameras at the ready]"
Helen Keller! The Musical,Gerald,"Oh yeah, I got a great angle here."
Helen Keller! The Musical,Randy,"Ey, Gerald, maybe after the show we can make copies of each other's tape so we have both."
Helen Keller! The Musical,Gerald,Good idea.
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre, stage. The kids mill around backstage"
Helen Keller! The Musical,Kyle,So wait. Do we do that spin-around thing on the last beat?
Helen Keller! The Musical,Stan,"No, it's on the 'en or the 'ay. [Timmy rolls slowly in ]"
Helen Keller! The Musical,Kyle,"You ready for the big show, Timmy?"
Helen Keller! The Musical,Stan,"Where's Gobbles, Timmy?"
Helen Keller! The Musical,Timmy,Gobbles.
Helen Keller! The Musical,Cartman,"[cheerfully] Alright everybody, let's take our places!"
Helen Keller! The Musical,Kyle,"Cartman, where's Timmy's turkey?"
Helen Keller! The Musical,Cartman,"I don't know. [Stan and Kyle cross their arms] I don't know, you guys! Alright, maybe I tried to have Timmy's turkey crushed by a stage light, but I didn't do anything else. I'm not an asshole."
Helen Keller! The Musical,Lamond,"You're going to be brilliant, you sexy, gorgeous turkey. With that other meddling animal out of the way, you'll steal the show! [Alinicia gobbles]"
Helen Keller! The Musical,Scene Description,"South Park, business district, day. Gobbles walks along the curb as cars zip by, then decides to cross the street. A car zips be and Gobbles steps back. The camera angle shows Gobbles' view of the car that almost ran over him"
Helen Keller! The Musical,Driver,"[walks up to collect Gobbles] Well, well, what are doing out here? [picks him up] You shouldn't be out walking the streets. [opens his truck, tosses Gobbles in, and rushes to the cab of the truck. The side of the truck reads, ""Uncle Joe's Fresh Turkey. Succulent and Juicy Turkeys,"" with a plump turkey in the background. The driver takes off quickly]"
Helen Keller! The Musical,Scene Description,"Uncle Joe's Fresh Turkey truck, trailer section. Gobbles finds himself along near the doors and looks up to see a group of turkeys looking back at him. Then the turkeys look up, and Gobbles does also. What they see is a sign that reads, ""Thanksgiving Turkey. Killed Humanely."" Gobbles looks at the turkeys, who look back, and then drops his head"
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre, stage. Mr. Garrison is present to introduce the show."
Helen Keller! The Musical,Mr. Garrison,"Hello, parents, and welcome to the 13th annual South Park Thanksgiving Pageant."
Helen Keller! The Musical,Mr. Mackey,"[bored, rests his head on his hand] Every year the fourth graders do ""The Miracle Worker,"" and every year I have to sit and watch it."
Helen Keller! The Musical,Principal Victoria,"Yeah, I swore that if I had to see it one more time, I'd put a bullet in my head. [demonstrates with her finger] But luckily I got really stoned before I came."
Helen Keller! The Musical,Mr. Garrison,"And now, here it is. The touching story of Helen Keller, ""The Miracle Worker."" [walks off. The parents are seen clapping, and then the curtains open up to reveal kids dancing and doing acrobatic feats]"
Helen Keller! The Musical,Kids,"Helen Keller, Helen Keller, blind as a bat.She can't hear us speak. What's up with that?"
Helen Keller! The Musical,Sheila,"This is ""The Miracle Worker""?"
Helen Keller! The Musical,Sharon,I... well... maybe. [more dancing follows]
Helen Keller! The Musical,Principal Victoria,"Oh, oh, haha. Wow."
Helen Keller! The Musical,Scene Description,"Uncle Joe's Fresh Turkey factory. The truck backs up to building 2B and dumps its cargo into a chute. The turkeys tumble down into a holding room and recover. Gobbles ends up there and looks up at a sign: ""Our Turkeys are killed... HUMANELY!!!"""
Helen Keller! The Musical,Wrangler,[a vertical door rises and he directs the turkeys] Come on. Yaah! Move it!
Helen Keller! The Musical,Scene Description,"the turkeys leave the room and enter another one. A movie screen faces them. Another worker appears and closes the door behind the turkeys. The turkeys remain excited until a movie comes up with sweeping views of nature. The turkeys calm down, and a view of clouds zipping along the sky follows. Then waterfalls. The lights come up and a giant saw comes out and chops the heads off all the turkeys save one. The saw rises. Only Gobbles survives, and he keeps his head low as he finds a clearing. A large board appears and pushes the decapitated turkeys out an opening on the opposite wall. The bodies are then lifted up and returned to the truck they came in, but the building they come out of is 3C. Gobbles falls off the truck and ends up on the floor. Jimbo and other South Park hunters pass by and notice"
Helen Keller! The Musical,Jimbo,"Holy crow. Look, boys! A real live wild turkey! [Gobbles sees the hunters and tries to run away.] It's tryin' to outsmart us! Come on, fellas! [they pursue Gobbles]"
Helen Keller! The Musical,Scene Description,"The South Park Community Theatre, stage. The audience watches as Wendy"
Helen Keller! The Musical,Wendy,"John, come quick! Our little baby's very sick [Stan rushes in] When I pout she doesn't flinch, and when she doesn't move an inch."
Helen Keller! The Musical,Stan,"No, that cannot be. Honey you are scaring me."
Helen Keller! The Musical,Wendy,"She can't see hear, John. Watch. Helen!"
Helen Keller! The Musical,Stan,Helen!
Helen Keller! The Musical,Wendy,...Helen! [the audience stares in disbelief] I think our baby's deaf and blind. Oh no!
Helen Keller! The Musical,Stan,Oh no! [they lean on each other]
