The New Terrance and Phillip Movie Trailer,Barkeep,GET OUT!!! [walks over and turns the TV to a baseball game]
The New Terrance and Phillip Movie Trailer,The Boys,Aaah!
The New Terrance and Phillip Movie Trailer,Stan,"[the first to head for the door] Come on, we gotta get to a TV! [the others follow]"
The New Terrance and Phillip Movie Trailer,Cartman,"Oh, you've gotta be kidding me!"
The New Terrance and Phillip Movie Trailer,Scene Description,"Downtown South Park. The TV, now a robot, marches through town blasting holes into buildings. Chef follows behind on a cell phone."
The New Terrance and Phillip Movie Trailer,Chef,"Yes, is this customer service? I'm havin' problems with my new television. It sprouted legs and guns 'n started walkin' around shootin' people. Uh huh. Okay. Ohhh, so I press ""menu,"" then ""function."" [presses the buttons. The TV shoots at a man locking up a store, making him spill his groceries and fall on his back. The TV stops]"
The New Terrance and Phillip Movie Trailer,Townsman,Jesus! [gets up and runs] Waaaah! [the TV moves forward again]
The New Terrance and Phillip Movie Trailer,Chef,"No, that didn't work. Did I set the internal clock? Uh, no. [listens] Oh, really? Well, how do I do that?"
The New Terrance and Phillip Movie Trailer,Scene Description,"Shady Acres, A Retirement Community. The boys rush in and head for the empty seats in the TV room."
The New Terrance and Phillip Movie Trailer,Cartman,"Find the remote! Find the remote! Hold it! [once the boys are in place, Stan walks over to the TV and turns it on. ""Puppies From Around The World"" comes on, and Stan quickly changes the channel to the Russell Crowe show]"
The New Terrance and Phillip Movie Trailer,Kyle,We're not too late! [the boys grin]
The New Terrance and Phillip Movie Trailer,Russell Crowe,"Come on, Tugger ol' mate. Why are you lookin' so down?"
The New Terrance and Phillip Movie Trailer,Tugger,"Mooot, mooot."
The New Terrance and Phillip Movie Trailer,Russell Crowe,[whispers to the camera] Tugger's in a bit of a sad state. Seems his girlfriend and him had a bit of a row last night.
The New Terrance and Phillip Movie Trailer,Tugger,Mooooot.
The New Terrance and Phillip Movie Trailer,Old Man,"[everyone watches silently, then] ...What is this?"
The New Terrance and Phillip Movie Trailer,Scene Description,The Russell Crowe show.
The New Terrance and Phillip Movie Trailer,Russell Crowe,"Come on. Cheer up, Tugger. How can I make you feel better? I know! [grabs a guitar off-screen and prepares to play it.] How would you like me to sing one of the songs off me new album?"
The New Terrance and Phillip Movie Trailer,Tugger,[shakes its smokestack with each protest] Nooo! Nooooo!
The New Terrance and Phillip Movie Trailer,Russell Crowe,"What's that, Tugger? You say you really love the songs on my album?"
The New Terrance and Phillip Movie Trailer,Tugger,Noooooooooo! [shakes its smokestack]
The New Terrance and Phillip Movie Trailer,Russell Crowe,"Alright then, Tugger. [begins strumming]"
The New Terrance and Phillip Movie Trailer,Tugger,"Noo, no! [shakes its smokestack]"
The New Terrance and Phillip Movie Trailer,Russell Crowe,You know that you're my baby. You know I need you now.
The New Terrance and Phillip Movie Trailer,Tugger,"[tries to escape, but can't, as it's tied to the dock] Noooooooooo! [shakes its smokestack]"
The New Terrance and Phillip Movie Trailer,Russell Crowe,"I don't know where I'm goin', I gotta get there some, yeah gotta get there, somehow."
The New Terrance and Phillip Movie Trailer,Tugger,"[returns and tries to rip itself away towards the right with all its might] Noooooooooo! [turns and tries to pull itself away towards the left, but can't]"
The New Terrance and Phillip Movie Trailer,Russell Crowe,Gotta get there somehow.
The New Terrance and Phillip Movie Trailer,Tugger,"[continues to struggle] Noooooooooo! [turns and tries to pull itself away towards the left, but can't]"
The New Terrance and Phillip Movie Trailer,Russell Crowe,"You can stay away tonight, but I'm gonna sleep here, in my explosive clouds..."
The New Terrance and Phillip Movie Trailer,Tugger,"[returns, then takes out its arms for the first time] NOOOOO! [pulls out some giant earmuffs and places them over the cabin doors. It shakes violently as Russell lunges into a faster rhythm]"
The New Terrance and Phillip Movie Trailer,Russell Crowe,"SHOUT! Think I feel your heartbeat, can you feel mine... lady lookin' lovely, gotta take your love inside, gotta take it..."
The New Terrance and Phillip Movie Trailer,Tugger,"[struggles fiercely] NOOOOO! NOOOOO! [throws its earmuffs off, reaches for a pistol and places it against its smokestack. Tugger fires the gun, and it falls into the water with a splash. Russell stops singing once he hears the gunshot..]"
The New Terrance and Phillip Movie Trailer,Russell Crowe,[spins around] Tugger! [drops to the edge of the dock and looks down at the water. Tugger is on its side leaking oil] Tugger shot himself!
The New Terrance and Phillip Movie Trailer,Announcer,[the show logo pops up] Has Russell lost Tugger for good? Find out after these messages.
The New Terrance and Phillip Movie Trailer,Scene Description,Shady Acres TV room.
The New Terrance and Phillip Movie Trailer,Cartman,Here we go!
The New Terrance and Phillip Movie Trailer,Stan,Commercial Break Number Two! [the boys are positively giddy with anticipation]
The New Terrance and Phillip Movie Trailer,Announcer,"And now back to Russell Crowe, Fightin' Around The World!"
