The Biggest Douche in the Universe,Woman 5,"[sobbing] Yes, it was."
The Biggest Douche in the Universe,Audience,Wow!! [begins to clap]
The Biggest Douche in the Universe,Man 10,Amazing!
The Biggest Douche in the Universe,Woman 7,Ask Peter if he knows my little Billy.
The Biggest Douche in the Universe,Stan,"[frustrated, with right hand over his clenched eyelids] Okay. Let's back up. [each audience row backs up to the one behind it] Not literally!"
The Biggest Douche in the Universe,Scene Description,"McElroy manor, night. Nellie is still working on Cartman. He's laying on a bed, and Chef's dad helps in the exorcism."
The Biggest Douche in the Universe,Thomas,In the name of all that is holy we demand this spirit be set free!
The Biggest Douche in the Universe,Cartman,"Ahh, Aahhhh! [the adults back away from the bed. Soon, an orange glow appears on Cartman's belly]"
The Biggest Douche in the Universe,Thomas,There we go! We're gettin' somethin' now!
The Biggest Douche in the Universe,Nellie,"Come on out, spirit. Go!"
The Biggest Douche in the Universe,Thomas,Come on out hyow! It's safe! [Cartman groans with the pain Kenny's spirit is causing him. Thomas quickly moves to the foot of the bed] Here it comes! The spirit is comin' out hyuh! [a timer goes off]
The Biggest Douche in the Universe,Nellie,"Oooo, that's the potatoes. [she removes all her costume and heads to the kitchen]"
The Biggest Douche in the Universe,Thomas,"[a few seconds later] Well hold on the potatoes two seconds, woman! [Nellie stops and turns around] The soul's comin' out hyuh! [Cartman writhes on the bed as Kenny's spirit now glows from Cartman's pants] It's almost done. Alright, son. Now bring me the victim child!"
The Biggest Douche in the Universe,Chef,The victim child?
The Biggest Douche in the Universe,Thomas,"Yeah. You know, the child that we sacrifice so we can put Kenny's soul into its body. [Chef looks off to his right. Liane and Thomas follow his gaze]"
The Biggest Douche in the Universe,Nellie,"Oh Lord, they didn't bring a victim child."
The Biggest Douche in the Universe,Chef,Where were we gonna find a child to sacrifice?
The Biggest Douche in the Universe,Nellie,"We weren't gonna ask you where you got it from. [Cartman groans once more, and Kenny's spirit bolts out and bounces around the room. The adults try to dodge it]"
The Biggest Douche in the Universe,Thomas,God-damnit! The spirit's out and it don't have no where to go!
The Biggest Douche in the Universe,Nellie,"Lord, Thomas, don't let it get on the curtains."
The Biggest Douche in the Universe,Scene Description,Movie trailer. First scene is a disco dance floor. Rob Schneider is dancing around like John Travolta.
The Biggest Douche in the Universe,Announcer,"Rob Schneider derp de derp. [next scene: he's walking down a city street when a pretty woman passes by. He looks back at her] Derp de derpity derpy derp. [he runs into a light standard. Next scene: he's a lab technician working with nitrogen. He drinks a strange liquid] Until one day, the derpa derpa derpaderp. [Rob is shown dancing like a monkey on the street] Derp de derp. [he's in a house begging like a dog in front of a woman] da teedily dumb."
The Biggest Douche in the Universe,Rob Schneider,"[rises a bit, then starts falling backwards down the stairs] Whoa! [hits the ground floor landing]"
The Biggest Douche in the Universe,Announcer,"From the creators of Der, and Tum Ta Tittaly Tum Ta Too, Rob Schneider is Da Derp Dee Derp Da Teetley Derpee Derpee Dumb. Rated PG-13."
The Biggest Douche in the Universe,Scene Description,"The Jewleeard School, New York. Kyle is studying. Stan approaches him with a stack of papers."
The Biggest Douche in the Universe,Stan,"Here. Look, Kyle. I found tons of testimonials on the Internet saying that John Edward has the entire studio wired to hear what people are talking about before the show. And, he pays actors to be plants in the audience."
The Biggest Douche in the Universe,Kyle,You're just jealous he's a better psychic than you.
The Biggest Douche in the Universe,Stan,"Fine, I give up! You wanna stay in New York?! Then go ahead! [throws the stack away and leaves. He reaches the front doors, opens them, and is face-to-face with John Edward]"
The Biggest Douche in the Universe,John Edward,"So, you think you can talk to dead people better than me, huh?!"
The Biggest Douche in the Universe,Stan,"No, I don't think either one of us can. [Kyle gets up from his seat and leaves the room]"
The Biggest Douche in the Universe,John Edward,"They told me your show is getting better ratings than mine, that you're saying I'm a fraud on your show! You'd better not ever call me a liar, or a fake, or a douche again, or else I'll sue you for slander!"
The Biggest Douche in the Universe,Stan,"I'm saying this to you, John Edward, you are a liar, you are a fake, and you are the biggest douche ever!"
The Biggest Douche in the Universe,John Edward,Everything I tell people is positive and gives them hope! How does that make me a douche?!
The Biggest Douche in the Universe,Stan,"Because the big questions in life are tough: Why are we here? Where are we from? Where are we going? But if people believe in asshole douchey liars like you, we're never gonna find the real answer to those questions. You aren't just lying, you're slowing down the progress of all mankind, you douche!"
The Biggest Douche in the Universe,John Edward,I'M NOT A DOUCHE! And I challenge you to a psychic showdown! I'll prove to the world that I'm psychic and you're not!
The Biggest Douche in the Universe,Stan,"Fine, douche! [slams one door on him...]"
The Biggest Douche in the Universe,John Edward,I'm not a douche! [...then the other]
The Biggest Douche in the Universe,Scene Description,"The McElroy manor, night. Kenny's spirit is now in the living room flitting about. Thomas enters with a broom, swinging it around to capture it somehow."
The Biggest Douche in the Universe,Thomas,"Well come on, the soul's in here! It can't escape now. [Liane and Chef enter the room] It's goin' to the light! Unfortunately, it's the livin' room light."
The Biggest Douche in the Universe,Nellie,"I'll open a window, you try to chase it out, Thomas."
The Biggest Douche in the Universe,Thomas,"Go on now, soul now!"
The Biggest Douche in the Universe,Nellie,"Here, spirit, come out the window. [opens a window] I'll give you tree-fiddy. [holds out some money for the spirit]"
The Biggest Douche in the Universe,Thomas,"Now don't go offerin' the soul no tree-fiddy, woman!"
The Biggest Douche in the Universe,Nellie,I'm just tryin' to persuade it.
The Biggest Douche in the Universe,Thomas,"Well I know, but you can at least start at about two quarter or somethin' [the spirit comes out of the light and flits out of the living room] Aw Christmas, there it goes again!"
The Biggest Douche in the Universe,Nellie,"[drops the money] It's headin' for the kitchen! Aw, Thomas, the pot roast! [heads for the kitchen after the spirit]"
The Biggest Douche in the Universe,Scene Description,"The McElroy manor, kitchen. Kenny's spirit flits in and bounces around the kitchen. The adults enter, hot on its trail."
The Biggest Douche in the Universe,Thomas,Over here!
The Biggest Douche in the Universe,Liane,Get it down.
The Biggest Douche in the Universe,Nellie,"Don't let it get in the roast! [the spirit moves over the roast. The others move with it, but the spirit dives into the pot roast, making it bounce. The adults crowd in and look at the pot roast]"
The Biggest Douche in the Universe,Thomas,Oh. Well. I guess the child's a pot roast now.
The Biggest Douche in the Universe,Chef,What do we do with it now?
The Biggest Douche in the Universe,Nellie,[turns around to get something] Well I'll wrap it up with some plastic wrap so you can take it home with ya. Should last a few months in the freezer. [turns around with a box of Saran Wrap]
The Biggest Douche in the Universe,Cartman,"[entering refreshed] Hey, ah I feel a lot better."
The Biggest Douche in the Universe,Chef,"Eric, you're okay! [the others gather around him. Liane kneels to hug him]"
The Biggest Douche in the Universe,Liane,"Oh, baby, your time is back!"
The Biggest Douche in the Universe,Nellie,[lays a hand on Cartman's head and pronounces] This child is clean.
The Biggest Douche in the Universe,Scene Description,The John Edward studio.
The Biggest Douche in the Universe,Announcer,"Ladies and Gentlemen, it's ""Psychic Showdown."" Here are John Edward, and Stan Marsh. [both of them enter and get on stage. The studio audience applauds]"
The Biggest Douche in the Universe,John Edward,"Thank you. [the applause dies down. He turns to Stan] Alright, asshole! I know you're here to try to throw me off, so go ahead. Give me your best shot!"
The Biggest Douche in the Universe,Stan,"No, I don't wanna talk to you. I wanna talk to the audience."
The Biggest Douche in the Universe,John Edward,Wah-why?
