Britney's New Look,Photographer 3,Hey look!
Britney's New Look,Photographer 4,There she is! [A photographer points and his face becomes distorted. The photographers rush the car before the manager can leave]
Britney's New Look,Kyle,"Oh crap! [the photographers again clamor for Britney's attention, and one of them asks about her choice of shoes]"
Britney's New Look,Stan,Jesus Christ!
Britney's New Look,Manager,"Yeah yeah, it's like this all the time. [to the photographers] Thank you! Yes, thanks. [drives out of the crowd and peels away. The paparazzi look on and then pursue the car on foot]"
Britney's New Look,Stan,"Look, uh, we feel really bad, and, and we wanna help Britney however we can."
Britney's New Look,Manager,"That's great, boys. Britney seems to have really taken a liking to you. And don't worry: Britney is a queen at reinventing herself. We just need to get her into the recording studio right away."
Britney's New Look,Kyle,What?!
Britney's New Look,Scene Description,"Britney's recording studio. Stan and Kyle are there with the manager and the studio crew, and they're outraged at the way Britney is being treated."
Britney's New Look,Manager,"All right, Britney, let's take it from the top. Remember to bring that sexiness to it."
Britney's New Look,Kyle,"Excuse me, is this really what you think she should be doing right now?"
Britney's New Look,Bruce,"All right, Brit, let's try it from the top. [a studio hand gives her some headphones to work with, and she holds them up against what would be her right ear. She gargles intermittently]"
Britney's New Look,Female Aide,"God, what a train wreck."
Britney's New Look,Male Aide,She must be stoned again. [Britney continues to gargle more often and longer]
Britney's New Look,Stan,"Would you put a stop to this, please? This is only gonna make things worse."
Britney's New Look,Manager,"Whattaya mean? She sounds great. [suddenly stops the music] Ah, Britney, that last lyric is supposed to be ""love elation"". Sounds more like you're saying ""love creation""."
Britney's New Look,Britney,Gogehah.
Britney's New Look,Manager,E-la-tion. Really enunciate the L.
Britney's New Look,Britney,Egeul-gageol
Britney's New Look,Bruce,"Gah, she's so stupid."
Britney's New Look,Stan,What do you expect?! Look at her! She doesn't have most of her brain!
Britney's New Look,Bruce,"I know. She's really dumb, huh? [smiles]"
Britney's New Look,Stan,"No, I mean, she literally doesn't have most of her brain! Her head is gone!"
Britney's New Look,Bruce,"[cups his hands like he's grabbing Britney] Yeah. And she's all fat, too."
Britney's New Look,Britney,Okel?
Britney's New Look,Scene Description,MTV Video Music Awards 2007
Britney's New Look,Announcer,"Live, from Las Vegas, it's the MTV Video Music Awards"
Britney's New Look,VJ,"What's up, y'all? It's the MTV Awards and we are kickin' it off right. Here to perform her new song is the one, and only, Britney Spears! [two stage hands walk Britney out on stage]"
Britney's New Look,Kyle,"Aw come on now, people! [the manager is pleased with the performance]"
