Breast Cancer Show Ever,Pete,It's about freaking time. [Wendy walks up to Cartman and they face off]
Breast Cancer Show Ever,Craig,"All right, let's DO IT!"
Breast Cancer Show Ever,Cartman,"[wavering] What- what's up? [begins posing] What what's up? [draws close to her and cautions in a whisper] Wendy, don't forget: I'll tell my mom on you."
Breast Cancer Show Ever,Wendy,I don't care! [Cartman looks around. Butters gleefully dances in place waiting for the fight to start]
Breast Cancer Show Ever,Cartman,"Um, recess is almost over, I don't I don't know if there's really time."
Breast Cancer Show Ever,A Girl,Shut up and fight! [everyone else joins in the demand. Wendy ties her hair up in a small bun behind her head]
Breast Cancer Show Ever,Cartman,"Alright, fine Wendy! I'll fight you, you big bully! [takes off his jacket and tosses it aside]"
Breast Cancer Show Ever,Scene Description,"The fighters dance around each other until Wendy lands a right cross. Cartman spins around and falls on his back. Wendy dances around and Cartman stands up, pulling up his pants in the process. Wendy lands two left jabs on Cartman's face, and Cartman finally responds with a right punch. It's strong enough to make Wendy stagger backwards"
Breast Cancer Show Ever,Kids,Ohhhhh!
Breast Cancer Show Ever,Scene Description,"Cartman lands another punch on Wendy's face, then continues with a series of alternating punches, forcing Wendy backwards and into the crowd. Cartman lands a punch strong enough to send Wendy into the jungle gym, then continues punching her there. Wendy eventually catches one of his punches and outmuscles him, throwing Cartman into the jungle gym, then driving his face into one of the bars at least twice, and Cartman begins to bleed. The crowd is loving it, cheering her on. Wendy now delivers a long series of alternating punches, forcing Cartman back across the playground and into a hobby elephant. Cartman puts his arms up to deflect the punches, but it's ineffective."
Breast Cancer Show Ever,Butters,"Fuck him up, Wendy!"
Breast Cancer Show Ever,Scene Description,"Cartman finally tosses Wendy off him and throws a punch at her, but she punches faster, making him miss. She then punches him on the right temple, and Cartman wobbles a bit. As he recovers, Wendy delivers the finishing blow: a fierce right cross that turns Cartman's head around and sends his body flying. The scene is frozen in time and the various reactions are shown: Stan, Kyle, Tweek, and Jimmy are cheering Wendy on. Jimmy has his right crutch up in the air, cheering. Butters is swooning while the boys around him just watch the fight. Time speeds up and Cartman falls to the ground, losing a tooth. Wendy kicks him a few times for good measure. She runs out of strength, staggers backwards, and drops down on her ass, exhausted."
Breast Cancer Show Ever,Mr. Mackey,[just arriving] Wendy?
Breast Cancer Show Ever,Wendy,[pants and looks back at Mr. Mackey] I'm finished! [gets up and walks away. The girls look at her with astonishment]
Breast Cancer Show Ever,Mr. Mackey,"Eh, somebod - somebody call the principal! [Cartman gets up, sniffling. Some of the kids begin to leave. Cartman looks around]"
Breast Cancer Show Ever,Cartman,[demoralized] You don't have to say anything. I know how it is. I'm no longer the cool kid. Now you all think I'm a fahahahahahag. [begins to wail] My school life is over 'cause now all the guys don't think I'm coooohoohoohoohoohooooool. [wails some more]
Breast Cancer Show Ever,Stan,"Dude, we never thought you were cool."
Breast Cancer Show Ever,Cartman,That's not true! You're just saying that!
Breast Cancer Show Ever,Kyle,"No, really. We've always thought you suck."
Breast Cancer Show Ever,Jimmy,"Yeah, nothing's changed. Our opinion of you can't possible go any lower."
Breast Cancer Show Ever,Cartman,You're all just saying that to make me feel better.
Breast Cancer Show Ever,Craig,"No, it's true. We've always hated you."
Breast Cancer Show Ever,Butters,"Well, yeah."
Breast Cancer Show Ever,Cartman,"Don't try and make me feel better, you guys, it isn't... Wait, wait a minute. Why would you guys be saying stuff to make me feel better? Unless... unless you do think I'm cool. [the guys look at each other, sure that Cartman misunderstood them]"
Breast Cancer Show Ever,Craig,[confused] What?
Breast Cancer Show Ever,Cartman,"[seeing a positive side to this somehow] If you're all trying to make me feel better, then you must still like me. Oh, oh phew! Oh, you had me so worried about what you guys were gonna think of me getting beat up by a girl and... it turns out you think I'm cool no matter what. Oh, oh, oh God, what a relief! [jumps up and clicks his feet up in the air] Oh, yay! [jumps up again]"
Pandemic,Scene Description,"South Park Mall, day. The boys wait for Kenny, who is coming out of Walstien's with his purchase. Once he arrives, the boys move out into the open mall area and turn left."
Pandemic,Kyle,"I don't get it, Kenny: why do you buy razors and shaving cream?"
Pandemic,Kenny,"('Cause, dude, i'm gonna shave my balls.)"
Pandemic,Cartman,Shave your balls? Why would you shave your balls?
Pandemic,Kenny,(Because girls like shaved balls.)
Pandemic,Kyle,Girls like shaved balls?
Pandemic,Kenny,"(Yes, they do.)"
Pandemic,Cartman,What girl is gonna see your balls?
Pandemic,Kenny,(I don't know.) [Something grabs Stan's attention and he stops and looks to his right.]
Pandemic,Stan,"[pissed off] Oh Jesus, there's another one! [the other boys stop and look. A Peruvian pan flute band plays and draws a small crowd] Another pan flute band! Have you guys noticed there's bands like this everywhere you go lately? [the band has a bombo drummer, a siku player, and two charango players]"
Pandemic,Cartman,Yeah I saw like three of those bands down in Denver yesterday. All their crappy music sounds the same.
Pandemic,Stan,I'm so sick of hearing this music everywhere I go!
Pandemic,Kyle,I think Kenny likes it. [Kenny's groovin' to the music]
Pandemic,Stan,[turns left and leaves] I gotta get home for dinner.
Pandemic,Cartman,"[follows] Yeah, me too. [Kyle follows Cartman and Kenny keeps dancing.]"
Pandemic,Scene Description,"South Park Mall, exterior. The boys exit the mall. Kenny catches up to them. The camera pulls back to reveal another band."
Pandemic,Stan,[pumping his fists] God!
Pandemic,Cartman,Shut up already!
Pandemic,Stan,I'm outta here; see ya guys. [leaves. Kyle and Cartman follow and Kenny dances again]
Pandemic,Scene Description,"Stan's house, night. He walks in through the front door and to the sofa, where he finds Shelly watching TV."
Pandemic,TV,"Tonight, the Travel Channel takes you to London! [the London skyline is shown. A British flag floats across the screen] London has something for everyone! Sights! [a pillar topped by a statue] Theater, and wonderful street performers! [the picture pans down to reveal a pan flute band playing to the crowd]"
Pandemic,Stan,They're in London too?
Pandemic,Sharon,"Hey, time for dinner guys. [Shelly turns off the TV and joins Stan to the dining room]"
Pandemic,Scene Description,The dining room. Sharon arrives with a bowl of fruit as Stan and Shelly take their seats on either side of the table. Sharon has already set their meals on the table. Today's meal? Potatoes au gratin.
Pandemic,Sharon,"All right kids, dig in."
Pandemic,Stan,Where's dad?
Pandemic,Sharon,[irritated] He's upstairs videotaping your grandfather in the bathtub.
Pandemic,Stan,Why?
Pandemic,Sharon,Because ever since your father got that stupid video camera he thinks he has to film everything the family does.
Pandemic,Randy,"[arrives and starts shooting] All right, here we are. Marsh family gathered for another dinner. [moves around to Stan's side of the table, shooting video all the while]"
Pandemic,Sharon,"Randy, we have plenty of video of us eating dinner."
Pandemic,Randy,[points the camera at Shelly] There's Shelly. You excited about eating dinner Shelly?
Pandemic,Shelly,"Turn it off, Dad!"
Pandemic,Randy,"[swoops around to Shelly's side to get a better shot] Oh look! Stan's eating a tater-tot! Wave to the camera, Stan. [takes a quick look at the screen attached to the camera, to adjust the aim. A second later and pan flute music is heard. Stan looks around and locates the source. He walks to a front window and sees a pan flute band playing across the street. In front of them is a briefcase full of CDs]"
Pandemic,Stan,Oh Jesus Christ! [Randy walks up behind him with the camera]
Pandemic,Randy,"Ohhh neato, it's one of those Peruvian pan flute bands. Stan, go out and stand with them. I can get a shot. [Stan just glances at him]"
Pandemic,Scene Description,"Kyle's house, next day. Kenny and Cartman are with him playing Candyland on the living room floor."
Pandemic,Cartman,"I will play this card to move Kyle back seven spaces... [moves Kyle's piece back seven spaces and softly says] ...screw you Kyle. [normal voice] Aaand all right, your turn, Kenny. [tosses the dice to him]"
Pandemic,Stan,"You guys! You guys, check this out: I saw another Peruvian flute band outside my house last night."
Pandemic,Cartman,So?
Pandemic,Stan,"So? So I just sat there and watched them for a while and, guess how much money they made selling their crappy CDs?"
Pandemic,Cartman,How much?
Pandemic,Stan,Over two hundred bucks.
Pandemic,Kyle,Two hundred dollars?
Pandemic,Cartman,Really? Are you sure?
Pandemic,Stan,"Yeah dude, I'm- I'm starting to realize that it's like the easiest job in the world. You know, I mean, we could do that! [the other boys stay quiet]"
Pandemic,Kyle,...Become a Peruvian flute band?
Pandemic,Stan,"Yeah, why not? We get some instruments and some costumes and then... make some crappy pan flute music CDs on my computer."
Pandemic,Cartman,[stands up] Oh my god. We're gonna make so much fucking money you guys.
Pandemic,Stan,Yeah!
Pandemic,Kenny,(Woohoo!)
Pandemic,Kyle,But where are we gonna get the money to buy costumes and and the instruments? [the boys give it some thought]
Pandemic,Scene Description,"Craig's house, moments later. The four boys are at the front door ringing the doorbell. The door opens and Craig appears."
Pandemic,Cartman,"Craig, dude, how're you doing, bro?"
Pandemic,Craig,...Fine.
Pandemic,Cartman,"Cool, awesome. Um, Craig, remember how you were tellin' us how your grandma gave you a hundred bucks for your birthday?"
Pandemic,Craig,...Yeah.
Pandemic,Stan,"Craig, how would you like to turn that hundred dollars into a thousand dollars? [Craig stays quiet, so Cartman prevails upon him and enters his house]"
Pandemic,Scene Description,Craig's living room.
Pandemic,Cartman,"Come on in, Craig. Have a seat. Welcome."
Pandemic,Craig,What do you guys want?
Pandemic,Kyle,"[enters with Stan and Kenny] Craig, we have chosen you to join our Peruvian flute band!"
Pandemic,Cartman,[applauds] All right Craig! [pats him on the back]
Pandemic,Craig,You mean like those guys you see at all the tourist spots?
Pandemic,Stan,"There's a reason they're everywhere, Craig: because they make bank! We just need your money to buy instruments and make some CDs."
Pandemic,Cartman,"And we'll double your money in one afternoon, Craig."
Pandemic,Craig,[assessing the situation] You guys never hang out with me. You never invite me to do stuff. But now you want me to be in a band with you because my grandma gave me a hundred dollars.
Pandemic,Cartman,"Craig, don't be an asshole."
Pandemic,Craig,[turns right and walks past Cartman] I'll go get the money. [the boys grin. Stan and Kenny high-five each other.]
Pandemic,Scene Description,"South Park Mall, day, by the fountain. The five boys now gather in their costumes with their instruments. Cartman plays the siku, Stan and Kyle play charangos, Kenny plays on a home-made bombo while Craig has a new stringed instrument."
Pandemic,Stan,"All right guys, just like we rehearsed it. You ready Craig? All right, let's jam!"
Pandemic,Cartman,"And a one, and a two, and a- [the boys launch into their rendition of ""Mary Had A Little Lamb""]"
Pandemic,Man 1,"Wow, that's such cultural music."
Pandemic,Man 2,"Very cultural, yes."
Pandemic,Cartman,"[as the men leave] Por favor, buy our CDs de musica. [in their briefcase are $10 CDs from their band, the Llama Brothers, ""Tapas and Moonscapes"". Man 1 whips out a fresh $10 bill and buys a CD]"
Pandemic,Kyle,Gracias.
Pandemic,Woman 1,[walks by and stops to check out the CDs] How cultural. [buys one for herself]
Pandemic,Kyle,This is awesome!
Pandemic,Stan,"Ya see, Craig? [another band starts up nearby and Stan steps forward for a better look. The boys look to their right]"
Pandemic,Cartman,Hey! Heyheyheyheyhey! [leads the other boys to the competing band]
Pandemic,Stan,"Hey, you guys can't play here. We were here first. [the other band ignores them and continues playing]"
Pandemic,Cartman,No trabajar aqui! Vaya! No pleya la musica en la promenade! No es bueno!
Pandemic,Stan,"This is our Peruvian flute band's turf, you got that?! [the other band looks at them for a few seconds, then resumes its music, its members grinning.]"
Pandemic,Kyle,God damn it!
Pandemic,Cartman,No! No es bueno! [grabs the siku and throws it away. The band stops playing. The siku player looks at his empty hands and goes after the siku]
Pandemic,Stan,"Come on, guys. [the boys return to their spot and start playing again, but another band begins to play off to their left]"
Pandemic,Stan,Jesus Christ!
Pandemic,Cartman,"No, no es bueno! No trabajar aqui!"
Pandemic,Scene Description,U.S. Department of Homeland Security.
