I Should Have Never Gone Ziplining,Man 2,Skip a free lunch? Not me! [runs to the lunch area. The other zipliners follow]
I Should Have Never Gone Ziplining,Guide,Wo wants sandwiches? [pulls out sealed sandwiches from a portable ice box] We got ...turkey. [Man 2 takes that one] Ham. [another zipliner takes that one] Turkey ham. [another zipliner takes that one...]
I Should Have Never Gone Ziplining,Pete,"[in the background] Long story short, we picked up our bags and went to our hotel. [in the foreground the boys are sitting on their own log with the word HELP on the ground before them made with twigs and branches]"
I Should Have Never Gone Ziplining,Cartman,"Oogh! Ugh! You guys, seriously! Something's wrong in my tummy! [keeps sipping the Double Dew]"
I Should Have Never Gone Ziplining,Kyle,"The stop drinking Double Dew, fatass!"
I Should Have Never Gone Ziplining,Cartman,"This is Diet Double Dew Kyle! It only has half the caffeine and sugar of Double Dew. [at the bottom of the can is a blurb saying ""DEW THE MATH!""] Oh man, you guys, I gotta get to a bathroom fast."
I Should Have Never Gone Ziplining,Kyle,You're in a forest! Go take a crap!
I Should Have Never Gone Ziplining,Cartman,"If I crap in the woods, the blood will attract beavers, Kyle!"
I Should Have Never Gone Ziplining,Stan,"[runs up to the tour guides] Hey ah, I'm so sorry, but we have an emergency. Our friend is really really sick."
I Should Have Never Gone Ziplining,Michael,"Oh, you mean the little kid with the herpes?"
I Should Have Never Gone Ziplining,Stan,...Yyyeah.
I Should Have Never Gone Ziplining,Guide,"That's not herpes, it's a cold sore."
I Should Have Never Gone Ziplining,Michael,"Right, sorry."
I Should Have Never Gone Ziplining,Stan,"Yeah, his, his cold sore is really bad, and uhh he's losing blood, so we've gotta go."
I Should Have Never Gone Ziplining,Michael,"Jesus, sorry dude, but we're at the summit. The only way down is to zip down."
I Should Have Never Gone Ziplining,Some adults,Zipline! Wooo!
I Should Have Never Gone Ziplining,Guide,What about the stables?
I Should Have Never Gone Ziplining,Michael,"Oh yeah, the stables. There's, there's a ranch right past that hill that rents out horses. I, I bet they can get you back."
I Should Have Never Gone Ziplining,Kyle,"[being interviewed] Suddenly, Stan says he knows about some horse stables. Ih it seemed too good to be true."
I Should Have Never Gone Ziplining,Rancher,"Now let me get this straight: You want four horses, one for each of ya?"
I Should Have Never Gone Ziplining,Stan,"Yea, please!"
I Should Have Never Gone Ziplining,Rancher,Well I think we can set ya up.
I Should Have Never Gone Ziplining,Kyle,"Oh, thank God!"
I Should Have Never Gone Ziplining,Stan,You see guys? This is gonna be sweet after all.
I Should Have Never Gone Ziplining,Rancher,"Step right out here, we'll get you going. [leads the boys out to a horseback riding tour] Got four more for you, Duncan. [All the riders wave and say hello, and a few take pictures]"
I Should Have Never Gone Ziplining,Cartman,NOOO! [opening shots return]
I Should Have Never Gone Ziplining,Narrator,Four young boys in Colorado are on a trip from hell.
I Should Have Never Gone Ziplining,Kyle,"AAAAH! [the boys are now shown on horseback in this order: Stan, Kyle, Cartman, Kenny]"
I Should Have Never Gone Ziplining,Cartman,[still aching] Eeeeugh.
I Should Have Never Gone Ziplining,Narrator,Trapped in a tour group on horsback that is only allowed to travel four miles an hour. [the camera tries some dramatic moves]
I Should Have Never Gone Ziplining,Kyle,Can we please go faster?!
I Should Have Never Gone Ziplining,Kenny,(I can't take it!)
I Should Have Never Gone Ziplining,Duncan,We got some lunch set up for ya up ahead. Some turkey sandwiches and Diet Double Dew.
I Should Have Never Gone Ziplining,Kyle,AAAAAAAAAAH!
I Should Have Never Gone Ziplining,Cartman,Uh oh. [lets out a wet fart]
I Should Have Never Gone Ziplining,Rider 1,"[to Kyle] So anyway, long story short, I was born in 1953 at six in the morning."
I Should Have Never Gone Ziplining,Narrator,"An attempt to make a bad day better becomes a descent into madness on... ""I Should Have Never Thought Horseback Riding Would Be Any Better Than Ziplining"""
I Should Have Never Gone Ziplining,Scene Description,"The lunch site, moments later."
I Should Have Never Gone Ziplining,Duncan,This here waterfall is called Heartbreak Falls. Would you all like to know why it's called Heartbreak Falls?
I Should Have Never Gone Ziplining,Rider 2,"Well I certainly would! [Other riders do too. Nearby, Kyle has collapsed]"
I Should Have Never Gone Ziplining,Stan,"Kyle. Kyle? Kyle, come on, wake up!"
I Should Have Never Gone Ziplining,Kyle,Just go. Go without me.
I Should Have Never Gone Ziplining,Stan,"No, we're not leaving you here, Kyle!"
I Should Have Never Gone Ziplining,Kyle,"I can't take it anymore. [his voice gets weaker] Why do people say ""long story short""? They're not making it short, Stan."
I Should Have Never Gone Ziplining,Stan,"[being interviewed] I just sat there, watching Kyle die and... I wanted to tell him the truth right then and there. But then this... fire rose up inside of me, I... I thought ""I can find us a way out!"" I ran off and went searching for, I don't know how long. Twelve minutes? And that's when I found it."
I Should Have Never Gone Ziplining,Stan,"[returns from his search quite excited] You guys, you guys! Get up! Listen to me! There's a lake a hundred yards down that way! They've got a marina with boats just sitting there!"
I Should Have Never Gone Ziplining,Cartman,A marina?
I Should Have Never Gone Ziplining,Stan,"We can take a boat, you guys! We can probably take it all the way back to Fairplay!"
I Should Have Never Gone Ziplining,Kyle,What's the point?
I Should Have Never Gone Ziplining,Stan,Come on you guys! A boat all to ourselves? It'll be fun! What could possibly go wrong?! [an announcer says the following lines]
I Should Have Never Gone Ziplining,Scene Description,"""The following program contains graphic re-enactments that may be disturbing to some audience members."" The marina. This is the live-action segment of the episode"
I Should Have Never Gone Ziplining,Narrator,Four young boys in Colorado are on a trip from hell. [shots of the boys screaming on various parts of the boat] Trapped on a 42-foot powerboat [named Puffin] which is only allowed to go five miles an hour. [some footage is dropped to speed up the boat in time-lapse form]
I Should Have Never Gone Ziplining,Kyle,Because we keep getting screwed over by your diarrhea!
I Should Have Never Gone Ziplining,Cartman,"Well it's not my diarrhea's fault that you took us all ziplining, you fuckin' Jew!"
I Should Have Never Gone Ziplining,Kyle,"Ziplining was your idea, you fatass!"
I Should Have Never Gone Ziplining,Narrator,The fourth graders are in a nightmare they cannot escape.
I Should Have Never Gone Ziplining,Cartman,"Kenny, whose idea was it to go ziplining? Mine, or Kyle's?"
I Should Have Never Gone Ziplining,Kenny,[slurring his speech] I don't know. I really don't give a shit.
I Should Have Never Gone Ziplining,Narrator,"For four elementary school boys, an alrady tragic day becomes a descent into madness on... ""I Should Have Never Got On A Goddamn Boat"" [more shots of the boys on the Puffin]"
I Should Have Never Gone Ziplining,Kyle,Oh no. [Cartman lowers a 20-oz. bottle of Mountain Dew] You're not stinking up the entire boat! You're taking a crap off the side into the water!
I Should Have Never Gone Ziplining,Scene Description,"""The events in this film took place over 4 hours in the Colorado Rockies."" Cartman is shitting over the side of the boat, Stan screams, Kyle and Kenny vomit over other sides, Cartman continues to shit"
I Should Have Never Gone Ziplining,Kenny,Beavers! [a beaver is swimming in the water]
I Should Have Never Gone Ziplining,Scene Description,"""This is a true story."""
I Should Have Never Gone Ziplining,Scene Description,The boys are resting on a bench on the boat now
I Should Have Never Gone Ziplining,Narrator,"After cleaning Cartman's diarrhea and fighting off beavers, the boys have made a terrifying discovery: that boating is just as boring as ziplining."
