Goth Kids 3: Dawn of the Posers,Henrietta,"Shut up, Mom! Leave me alone, you conformist bag of demon jizz!"
Goth Kids 3: Dawn of the Posers,Mrs. Biggle,...Fatty. [closes the door.]
Taming Strange,Scene Description,"South Park Elementary, day, Mr. Garrison's classroom. Mr. Mackey is present, showing the class a new computer system he's had installed at school"
Taming Strange,Mr. Mackey,"Students, I would like to introduce you all to the future. [holds a laptop with an IntelliLink logo on it] M'kay. Starting today, our school will be operating entirely on IntelliLink. [presses a key that brings up the splash screen] Now whenever you need to see the school nurse, or talk to me, your counselor, you can simply sign up using this simple, integrated portal. [presses the space bar] M'kay... [presses it again. Presses is twice more, and the main menu pops up] You can use a computer or any of the IntelliLink panels which are located throughout the school. [one such panel is shown next to the window] Lat's say you're in the cafeteria, m'kay. You start cougin' up blood and need to see the nurse. You just click on ""school clinic""[presses a button, and the school clinic menu pops up.] Mkay, see nurse. [selects it and a box appears on the right side with fields for teachers, student, note, and some checkboxes.]M'kay. Respiration problems. [presses a button, and ""All Night Long"" plays] Uh, okay, I must have I must have been in the wrong menu, uhkay. As you can see, you can control the sound system as well. Okay. [presses a key, and the song is cut off] It's all integrated and smartlinked, and this is a great idea, m'kay. Let's look at the message board. [press, and gets to the main menu] Mesage... board. [moves the cursor to the message board icon and loads the board] Here you can easily write messages to each other or to the faculty, m'kay? For instance, [sees the first thread title that loads] here we go. Here's a message from Kyle's little brother, Ike Broflovski. [loads the message] Okay, little Ike says ""My brother is a homo""[Cartman cackles and Kyle is startled] Ike made a little drawing of his brother too. [loads the drawing] Drew a nice picture with a... nice bird hangin' off Kyle's forehead, m'kay, that's nice. [Cartman cackles again, and Kyle looks annoyed] It's a nice... crane, a nice whoopin' crane comin' off Kyle's head there."
Taming Strange,Cartman,"That's not a crane, it's a dick and balls."
Taming Strange,Butters,"Heheh, yeah. [chuckles to himself. Kyle is now annoyed and embarrassed]"
Taming Strange,Scene Description,"The Broflovski house, day, kitchen. Sheila is washing dishes when Kyle appears and enters"
Taming Strange,Kyle,"Mom, Ike did it again. I don't know what's going on with him, but, it's like he hates me."
Taming Strange,Sheila,"Oh, Kyle, your little brother is, getting older. He's not a baby anymore."
Taming Strange,Kyle,"I know, but he posted a message of me with a schlong on my head."
Taming Strange,Sheila,"It's natural, bubbe. Part of getting older is finding ways to assert your independence. You know. Why don't you go and try to talk to him - you can win him over again. [Kyle thinks it over and walks out]"
Taming Strange,Scene Description,"Ike's room, moments later. Kyle opens the door and enters"
Taming Strange,Kyle,"Hey Ike, how's it going?"
Taming Strange,Ike,"[looks over his left shoulder] Get out of my room, Kyle! I'm on my computer! [turns back to his computer]"
Taming Strange,Kyle,I just wanted to see if maybe you want to do fingerpaints with me.
Taming Strange,Ike,Do I look like I wanna do fuckin' fingerpaints?! [looks over his shoulder again] Look at the fuckin' zits on my face!
Taming Strange,Kyle,"Ike, I just want us to be friends again."
Taming Strange,Ike,"Then stop harassing me, bro! You don't know what it's like to be a baby goin' through puberty! I don't know whether to watch Yo Gabba Gabba or go out and tame some strange!"
Taming Strange,Kyle,"Yeah, let's watch Yo Gabba Gabba, like old times."
Taming Strange,Scene Description,"Living room, moments later. Kyle and Ike sit on the sofa watching Yo Gabba Gabba. The troupe performs ""Come On And Dance."" Toodee steps forward to dance a bit"
Taming Strange,Ike,Dancy Dance is my favorite.
Taming Strange,Kyle,It always has been. See? This is nice. [Foofa steps forward]
Taming Strange,Ike,Who would you rather fuck? [Kyle is stunned] Foofa or Toodee?
Taming Strange,Kyle,What?
Taming Strange,Ike,"I wanna fuck Foofa. [a closeup of Foofa dancing] I wouldn't wanna fuck Toodee. She's a dike. You can tell. But Foofa, man. [whips out a can of chewing tobacco, opens it, and scoops some tobacco out] I bet she's got some sweet strange. [puts the tobacco in his mouth] I don't even know what the fuck Muno is."
Taming Strange,Kyle,"Ike, is that chewing tobacco?"
Taming Strange,Ike,What?! You gonna fuckin' narc and tell Mom?!
Taming Strange,Kyle,"No, I just don't think it's healthy."
Taming Strange,Ike,That's 'cause you don't understand shit! [stands on the sofa] I knew this was a bad idea! [leaves the sofa and walks away] I'm gonna watch Yo Gabba Gabba in my roomsy!
Taming Strange,Scene Description,"Mr. Mackey's office, a few days later. Someone knocks on his door."
Taming Strange,Mr. Mackey,"Come in, m'kay."
Taming Strange,Kyle,"[opens the door and peeks in] Mr. Mackey, can I talk to you?"
Taming Strange,Mr. Mackey,"Oh-kay, have you set up a counseling appointment on IntelliLink?"
Taming Strange,Kyle,[goes all the way in] No.
Taming Strange,Mr. Mackey,"Ookay, that's fine, that's fine. We can use IntelliLink to see what's available. Let's see, counseling request. Students. Make appointment. [presses a key and his window blind goes down, and Kyle notices] Okay, ah whoops. Okay, uh sume, uh students make appoint-alala here we go. Make, make appointment. [presses a key and the lights go out. He looks around] Uhkay, here we go. Uhkay, what do you need counseling with?"
Taming Strange,Kyle,It's my little brother. He's really changing and I feel like-
Taming Strange,Mr. Mackey,"Okay, I'll click on family issues. What time did you want counseling?"
Taming Strange,Kyle,Right now.
Taming Strange,Mr. Mackey,"Oo-kay, aaand, what is your brother's Intelligrated smart name?"
Taming Strange,Kyle,I don't know.
Taming Strange,Mr. Mackey,"Alright, I can do a lookup for the name. Uh go back. Main menu. [""The Heat Is On"" begins to play, and Mr. Mackey has lost control] Oh... Damnit. Okay now, back. [mumbles to himself as he tries to set things right] Set- no, set appointment. Okay, speakers off. [his blind rises] Okay, uh... Okay, what is your smart name, Kyle?"
Taming Strange,Kyle,What?
Taming Strange,Mr. Mackey,"Sorry, Kyle, we're gonna need to maybe go somewhere else. Uh... find an IntelliLink panel somewhere."
Taming Strange,Scene Description,"The boys' restroom. Mr. Mackey is on the toilet with an IntelliLink panel to his left, on the wall"
Taming Strange,Mr. Mackey,"Okay, let's see, lights. [presses the light icon and some other icons pop up] Mood. [presses the mood icon and a timer pops up] Start counseling timer. [sets it for 15 minutes and starts it] Okay there we go. Okay, we got it. [smiles] Okay now, Kyle, you had some concerns about your little brother?"
Taming Strange,Kyle,"[takes a moment to gather them] He's just... changing a lot. He walks around angry, telling me I'm stupid and, and all he talks about is sex."
Taming Strange,Mr. Mackey,Well it sounds like he's hittin' puberty.
Taming Strange,Kyle,"Yeah, he just seems so young."
Taming Strange,Mr. Mackey,"Well, your brother is Canadian. Perhaps Canadian puberty is a little different. Why don't you educate yourself about Canadian puberty and it could be somethin' yeeyou and your brother can actually do together. M'kay? [plop] You know, this is the first time I've been able to do counseling aaand go to the bathroom at the same time. IntelliLink is amazing."
Taming Strange,Scene Description,"A live program. The Canadian Board of Health Presents, ""What Are These Changes?"" A Guide To Puberty In Canada"
Taming Strange,Minister,"Hello young people, and welcome to the most fascinating time of your life. You have braved the trials of childhood, and now you are reaching Canadian puberty. By now, you've probably noticed some changes in your body. For instance, when you fart your dick gets hard. [a long pause] Other physical changes are happening to your body as well. If you're a boy you may notice that your testicles ache, or if you're a girl, you may notice a tingling sensation in your strange."
Taming Strange,Ike,"This is stupid, bro! I already know all this!"
Taming Strange,Kyle,"Let's just give it a chance, Ike."
