Stunning and Brave,PC bro 5,"Fuck, bro?! [Cartman stops by the taco launchers, which are manned by Clyde, Craig, and Tweek]"
Stunning and Brave,Cartman,"Fire the taco launchers! [the boys load the launchers and let fly. Tacos rain down upon the frat house. The women arrive and run into the house, picking up tacos on the way] Syrian refugee children, flank from the left! [a truck load of Syrian refugee children is waiting for the truck bed to empty out. Butters releases the cargo door and the kids flood out towards the house]"
Stunning and Brave,PC bro 2,"Dude, what is this, bro?!"
Stunning and Brave,PC bro 6,"I don't know, bro!"
Stunning and Brave,Cartman,"[looking through some binoculars] The Syrian refugee children are in; send in Jared! [Jared appears with his arms stretched out, ready to grab anything. He follows the women and the kids into the frat house, but doesn't grab anyone. The rest of the neighborhood gathers and marches towards the house]"
Stunning and Brave,Stephen,What in the world is going on??
Stunning and Brave,Cartman,"All right, good. The pregnant Mexican women are falling asleep on the tacos. [sees Jared on the balcony trying to grab some kids, and some bros stop Jared] Jared needs backup, send in the Chinese drivers. [a split second later two cars crash into each other in front of the house.]"
Stunning and Brave,A PC Bro,[falls from the balcony to his death] Ohhh! [lands on his head]
Stunning and Brave,Cartman,"All right, the Syrian refugees are trying to protect their children! Gimme a- Oh fuck, there's Kyle. [lowers his binoculars] What the fuck are you doing, Kyle?"
Stunning and Brave,Kyle,"Enough! Stop! Everyone STOHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHP! [The camera shows his head bigger than usual and the air brighter then usual. His voice echoes across town and everyone stops in their tracks. A pregnant woman picks up a taco and runs off with it.] This is so wrong! I can't let it continue! This is not ever what I intended! I just want to say... Caitlyn Jenner is a hero. There's no other way to say it. What she did took bravery, and she is absolutely stunning. [Moments later, PC Principal steps forward and begins clapping. Once the clapping reaches normal speed, others begin to join in. A live-action shot of Brett Farve at the ESPYs ""limp-clapping"" is even thrown in]"
Stunning and Brave,Townsman,Wooo.
Stunning and Brave,Scene Description,"South Park, the dawn of a new day. Everyone gathers in the school cafeteria, which has a sign at the entrance: WELCOME TO 2015 SOUTH PARK. Inside, people are having conversations, kids are running around, Randy's butt is getting branded..."
Stunning and Brave,Randy,"Ow, hot. Hot hot, hothohhht. [PC Bro 4 takes the branding iron off, and Randy is officially a PC Bro. He stands up and gets dressed.] Ahhh."
Stunning and Brave,PC Principal,"I gotta hand it to you, Marsh. You really checked that little boy's privilege. Using those Syrian refugees was genius, bro."
Stunning and Brave,PC bro 4,Yeah. I would have never thought to use offensive imagery and outrageous stereotypes to provoke someone to open their eyes.
Stunning and Brave,Randy,So I'm PC now?
Stunning and Brave,PC Principal,"You're not only PC, you've actually changed my PC. [whips out some sunglasses] Congrats. Here's your Oakleys."
Stunning and Brave,Randy,"Oh wow. Oakleys! [puts them on and his voice changes] Oh yeah bro, these are sweet. [The big five stand nearby observing the small ceremony]"
Stunning and Brave,Stan,"So I guess PC Principal is here to stay, huh?"
Stunning and Brave,Cartman,"Yes. But at least we showed him that sometimes joking about un-PC things can actually be important, because it starts a dialogue. [Kyle lowers his eyelids and the others back away] What's wrong, Kyle? You have your cake. Eat it, too."
Stunning and Brave,Kyle,"It just seems to me like we all lost in this, and that the only person who won was you."
Stunning and Brave,Cartman,"Hmmm... And who does that remind you of, Kyle? Now if you don't mind, I'm gonna go home and fuck my hot wife. Who, kind of looks like, a dude. [Cartman hums his own version of the end theme song over the credits.]"
Where My Country Gone?,Scene Description,"The White House, day. President Obama delivers a speech in the East Room to the press"
Where My Country Gone?,President Obama,"Now, last week we were all reminded that intolerance still exists in our country. It took a very special young student to light up social media, and we've invited him to the White House today to show our appreciation. Because never have there been more tolerant, more moving words than Kyle Broflovski's speech about his hero Caitlyn Jenner. [applause. Kyle is shown with his eyes half-closed - an indication that he doesn't want to be there.] Come on up here, Kyle."
Where My Country Gone?,Scene Description,"Crunchy's Micro Brew, during the speech. Mr. Garrison is seated with Richard Adler and Jimbo at a table looking at a TV monitor above the bar."
Where My Country Gone?,Mr. Garrison,"You see?? There! This is why it's happening! Everyone's preachin' openness and acceptance, and so now millions of goddamned immigrants are comin' over the border and nobody seems to care!"
Where My Country Gone?,Richard Adler,Well what are you gonna do? In today's world it's like you can't even say anything negative about illegal immigrants.
