Douche and a Danish,Lennart,"Get everyone back inside. If this girl really is that smart and funny, we might have another shot here. [the other Dane goes away]"
Fort Collins,Scene Description,Mars in Cartman's fantasy.
Fort Collins,Cartman,[jumps] Whee! [waves at someone far away] Hi! [looks at a human city] So cool! [leaps towards the city]
Fort Collins,Unnamed characters 1 and 2,[wave at Cartman] Hi!
Fort Collins,Unnamed character 3,[waves at Cartman] Hi!
Fort Collins,Cartman,"Hi! [stops and sees a roller coaster] Dude, Mars rules. [leaps to the roller coaster] Mars rules!"
Fort Collins,Scene Description,M Burger. Cartman is smiling while on a date with Heidi.
Fort Collins,Heidi,"What are you thinking about, Babe?"
Fort Collins,Cartman,Just thinking about how much we could accomplish if... people weren't so close-minded.
Fort Collins,Heidi,"You're worried about him again, aren't you? Your friend, Kyle?"
Fort Collins,Cartman,"[sighs] He's not a bad person, Heidi."
Fort Collins,Heidi,Then talk to him babe. Tell him what we're doing. Maybe you can get him back.
Fort Collins,Cartman,"You're right. You're right, Heidi."
Fort Collins,Scene Description,The Broflovski residence. Gerald is at his office trolling people.
Fort Collins,Gerald,"[repeatedly clicks on keyboard and talks softly] Ha ha, yeah. I'm yours, bitch. Ha ha. [speaks louder]. Suck it! [moves the mouse] How about a dick in your mouth?! There you go! Ha ha, ha ha ha ha. [notices the door bell ringing] Aw! [walks to the front door, and opens it]"
Fort Collins,Trolls,Hi Skankhunt!
Fort Collins,Gerald,[gets shocked] Ah! [tries looking behind him] What are you guys doing here?!
Fort Collins,Dick,We came to celebrate!
Fort Collins,PurpleheadedQueeflicker,Not everyday you troll a whole country.
Fort Collins,Anonymous821,[showed a case of John Adams beer] We brought some beer. Let's have a trolling party.
Fort Collins,Scene Description,The trolls have sat down and laughed each other
Fort Collins,PurpleheadedQueeflicker,We did it!
Fort Collins,Dick,"I think if anything, we proved that trolls really can have an effect on the world."
Fort Collins,Trolls,Yeah! Yeah!
Fort Collins,Troll 7,You said it!
Fort Collins,SupersexyLisa18,Thanks to us!
Fort Collins,Dick,"And I think on the next one, [raises his beer] we're only gonna get better."
Fort Collins,Troll 4,No doubt about it.
Fort Collins,Gerald,"Wh-what are you talking about ""next one""?"
Fort Collins,Dick,"Skankhunt, we got an entire country to sign off social media and... stop what they were doing. Imagine what effect we can have on the rest of the world?"
Fort Collins,Anonymous821,We're like super-trolls who could change anything.
Fort Collins,Gerald,[leans to Dick] Can I talk to you for a second?
Fort Collins,Scene Description,Gerald and Dick walk to the kitchen
Fort Collins,Gerald,Why did you bring them here?!
Fort Collins,Dick,"What do you mean? We're all on a team, Skankhunt."
Fort Collins,Gerald,That was a one-time deal so nobody would find out who we are!
Fort Collins,Dick,But you saw what we did when we worked together? Just think what we could do to like the Presidential Election.
Fort Collins,Gerald,The election?! I don't give a shit about the election! You don't troll to be political!
Fort Collins,Dick,Of course it's political!
Fort Collins,Gerald,"No, I just do it to laugh, like I did when I was a kid! Don't you just remember being a kid and calling someone a fag for no reason?!"
Fort Collins,Dick,I remember being called a fag for no reason.
Fort Collins,Gerald,"Right! Like it was just fun, right?! Getting political doesn't do anything for me. I just like remembering when I was a kid. That's it. You need to get those people to go and then you need to go."
Fort Collins,Dick,"Okay. [puts down his beer mug] Sure, Skankhunt. Whatever you say. [walks away]"
Fort Collins,Scene Description,Marsh kitchen.
Fort Collins,Garrison,Presidential election is only two weeks away. We have to [lifts a bag of memberberries talking] destroy these things.
Fort Collins,Jar Berries,'Member the Bi-wing fighters? 'Member the Service Droids? I 'member.
Fort Collins,Randy,[setting up experiment] That's much easier said than done. They're resistent to just about everything I tried.
Fort Collins,Experiment Berry,"'Member, 'member Mos Eisley? 'Member the Rancor, 'member? 'Member sand people? 'Member the Cantina? 'Member-- [gets torched by Randy and screams] My eyes!"
Fort Collins,Jar Berries,"What's going on now? They're using a torch on him. Oh, are they gonna use a torch on us?!"
Fort Collins,Experiment Berry,"Ah, Aaaaah! [stops getting torched] 'Member Bespin? 'Member Wedge? I loved Wedge. 'Member?"
Fort Collins,Randy,"Uh, there has to be something."
Fort Collins,Garrison,Try the acid.
Fort Collins,Experiment Berry,'Member Mon Mothma? 'Member the rebel transports? [screams while acid is poured on him]
Fort Collins,Jar Berries,"They're trying to destroy us. They are?! Our whole species?! They can't do that?! Yeah they can! 'Member the Death Star blowing up Alderaan? Oo, Alderaan, I 'member."
Fort Collins,Experiment Berry,"[keeps on screaming until Randy runs out of acid] 'Member the Cloud City? 'Member IG-88, the bounty hunter droid? 'member, that was fanta'tic."
Fort Collins,Randy,Damn it! [takes off flashlight] These things are impossible to get rid of.
Fort Collins,Scene Description,"Broflovski bathroom. Kyle sits on the toilet, using his phone and then hears a knock from the other side of the door]''"
Fort Collins,Kyle,[tilts head up] Yeah.
Fort Collins,Cartman,"[opens the door halfway and leans] Hey, Broship. You got a minute?"
Fort Collins,Kyle,"Oh, what do you want now?!"
Fort Collins,Cartman,"Just a second. Please, Kyle?"
Fort Collins,Kyle,Hurry up!
Fort Collins,Cartman,"Okay, [walks with Heidi in the bathroom] come on, Baby."
