The Pandemic Special,Clyde,Good morning.
The Pandemic Special,Wendy,Hello.
The Pandemic Special,Kyle,Hi.
The Pandemic Special,Sef Furman,Hello.
The Pandemic Special,Stan,"I'm, I'm here."
The Pandemic Special,Mrs. Nelson,"Okay, I think we're all here. I see Jimmy and Clyde are on now. Eric, are you there?"
The Pandemic Special,Cartman,"Yes, teacher, I'm here. I can't wait to start [fakes a computer glitch] schoo... schoo... schoo... oo... oo..."
The Pandemic Special,Mrs. Nelson,"Oh no, Eric, I think your computer is freezing up again."
The Pandemic Special,Cartman,Oh no? Can you guys hear me? I just said eh... eh... eh... eh...
The Pandemic Special,Mrs. Nelson,"Eric, you'll just have to listen again, okay? Best you can. So let's start today, guys, by going over yesterday's grammar examples. [Cartman puts up a tablet with the same facial expression he just made, making sure he can see it is his own Zoom window, and leaves] Wendy, can you read the first one?"
The Pandemic Special,Cartman,"I'm cut off from the world, isolated, alone. This is what I can existencing. No one can touch me or boss me around. Social distancing-  [grabs the rod and goes downstairs]"
The Pandemic Special,Liane,"[sees Cartman coming down the stairs] Eric, aren't you supposed to be on your Zoom call?"
The Pandemic Special,Cartman,"[jabs at her with the rod as he goes to the kitchen] Stay away from me, Mom, yeah. You've got to keep your social distance. 'Cause all I'm gonna do is sing about how much I love you and need you, social distancing  [pours himself some Cheesy Poofs cereal and milk]"
The Pandemic Special,Liane,"Sweetie, I know these are challenging times."
The Pandemic Special,Cartman,"Yeah Social distancing, Mom."
The Pandemic Special,Liane,But we all still have to try and do our work.
The Pandemic Special,Cartman,"[between bites] Computer keeps freezing, Mom. Maybe, if you were an essential worker, we could afford faster Internet."
The Pandemic Special,Liane,"I at least need you to get some of your homework done, okay? And then m-maybe take a shower."
The Pandemic Special,Cartman,"Oh, what a folly a shower seems when my generation is being denied their lives. I can't see my friends. I can't even go to school. How I miss Kyle. Heh heh heh heh."
The Pandemic Special,Liane,"Sweetie, it's all going to be over soon. They're actually talking about school opening up again in a few days! [Cartman stops eating, then turns around to look at Liane]"
The Pandemic Special,Cartman,What... the fuck... are you talking about?
The Pandemic Special,Liane,"There's going to be a big meeting. Sounds like they're trying to get you, kids, back in school!"
The Pandemic Special,Cartman,We can't go back to school: there's a fucking pandemic.
The Pandemic Special,Liane,But they're talking about maybe staggering you kids every other day.
The Pandemic Special,Cartman,They can't do that!
The Pandemic Special,Liane,"Eric, you're going to be able to be with all the other kids again!"
The Pandemic Special,Cartman,"Oh no, I see! There's all this horrible stuff going on in the world, but apparently, Cartman's life doesn't matter! [storms out of the kitchen]"
The Pandemic Special,Liane,"[gives chase] Eric, you can't-"
The Pandemic Special,Cartman,"[forces her back in the kitchen with his rood] Ahp! Get back! Get back! Six feet, Mom1 Six fucking feet! [makes sure she doesn't move, then leaves]"
The Pandemic Special,Scene Description,"Tegridy Farms, day. A sign on the farm's board says ""Get Your PANDEMIC SPECIAL!!"" Other signs promote safe distancing and safe curbside pick-up. A line of cars waits for its purchases. Randy has an umbrella out, as it's raining."
The Pandemic Special,Randy,"[as a driver pulls away] Okay, thank you very much! Hope you enjoy the Pandemic Special! [another driver pulls up] Hi, you here for the special? Here you go."
The Pandemic Special,Scene Description,"The farmhouse window, day, kitchen. Sharon is eating lunch when Stan walks up to the table and joins her."
The Pandemic Special,Sharon,"How was school, Stanley?"
The Pandemic Special,Stan,It's not school! It's a freakin' joke. We're not even learning anything.
The Pandemic Special,Sharon,"I know this has all been really hard on you, Stanley. Do you wanna talk about it?"
The Pandemic Special,Stan,"No, I'm fine, Mom! You know, I'm strong. I'm just worried about how this is all affecting weaker kids like, you know, like Butters."
The Pandemic Special,Sharon,"Yeah. Well, it's nice you care about our friend, but if you need to talk... I know this is really hard on everyone."
The Pandemic Special,Randy,"[Walks in happily] Well, that's it, guys. We have run out of weed for the day. [takes a seat next to Stan] Oh, hang on. Sorry, uh, didn't somebody say the pandemic special was a bad idea?"
The Pandemic Special,Sharon,"I wasn't saying you wouldn't make money, I was saying maybe that's not what should matter right now!"
The Pandemic Special,Randy,"Oh, come on, think about it. Do you even know anyone personally who's dying of COVID?"
The Pandemic Special,Sharon,"Yes! My brother Jimbo, who is in the hospital!"
The Pandemic Special,Stan,"Yeah, Uncle Jimbo."
The Pandemic Special,Randy,"Jimbo's a fat alcoholic who'd be in the hospital anyway. All I'm saying is that we let some dirty virus from ""China"" completely upend our lives and shut us down!"
The Pandemic Special,Sharon,Please do not quote the President in front of our child!
The Pandemic Special,Randy,"Sharon, I went to China, remember? Last season? I went there to sell our weed and ended up hanging out with Disney and Mickey Mouse. You remember all that? I know what China's like. Doesn't surprise me all this shit came from there."
The Pandemic Special,Shelly,[off screen] We're going back to school!
The Pandemic Special,Sharon,What?
The Pandemic Special,Shelly,[peeks in] They're gonna let us go back to school! [runs out]
The Pandemic Special,Scene Description,the living room. The TV is on and Shelly runs in to watch the news. Randy and Sharon join him
The Pandemic Special,Anchor Tom,"The Park County School District is holding a parent meeting tomorrow, and officials are hopeful that students can return to school on Monday."
The Pandemic Special,Stan,"Wow, that's great!"
The Pandemic Special,Sharon,"Oh, I don't know if this is a good idea."
The Pandemic Special,Anchor Tom,The openings come on the heels that scientists are getting closer to finding the origins of the COVID pandemic.
The Pandemic Special,Chief Scientist,"Y-yes, we've been able to trace the virus and confirm that it did, in fact, come from a seedy part of China."
The Pandemic Special,Randy,HA. Told ya! [turns and walks towards the kitchen.]
The Pandemic Special,Chief Scientist,"And, in fact, we've pinpointed the virus to a certain bat in Wuhan."
The Pandemic Special,Randy,[stops in his tracks and looks back] A bat in Wuhan?
The Pandemic Special,Chief Scientist,"What we still don't understand is, how did a transmitted disease get from a bat to a human? How can a virus jump species like that? We just don't know."
The Pandemic Special,Scene Description,"Randy flashes back to his China trip last year, on which he's traveling with a bunch of other American companies to pitch their products to the Chinese. He remembers the landing and the arrest for the marijuana in his luggage...] Hello. Oh, Oh hey! [...his time in a Chinese prison making goods, his trial at a tribunal...] You could use some, Tegridy, China! [...celebrating the discharge with Mickey Mouse]''"
The Pandemic Special,Mickey Mouse,Here's to China! Haha.
The Pandemic Special,Randy,To China!
The Pandemic Special,Mickey,"[Some scenes that weren't seen in last year's episode, ""Band In China"": Randy and Mickey are at a bar downing some drinks]"
The Pandemic Special,Randy,"Boy, you sure know how to party, Mick!"
The Pandemic Special,Mickey,Oh my God1 Look at her! Haha! She's so hot! [Randy gets a good look at the female Mickey's looking at]
The Pandemic Special,Randy,I think that's a bat.
The Pandemic Special,Mickey,"Yeah! It's a bat! It's a mouse, with wings!"
The Pandemic Special,Scene Description,"outside the bar, Randy wanders the narrow streets looking for Mickey."
The Pandemic Special,Randy,"Hey, Mick? Where'd you go? [stumbles upon Mickey fucking the bat]"
The Pandemic Special,Mickey,"Haha, haha. Oh boy!"
The Pandemic Special,Randy,Oooh!
The Pandemic Special,Mickey,"Haha! Randy, you gotta try it! Go ahead, take a turn!"
The Pandemic Special,Randy,"[takes his turn and thoroughly enjoys it, then snaps out of the memory]"
